iter	Passed	Remaining
673	15540	7516
674	15562	7492
675	15583	7468
676	15604	7445
677	15623	7419
678	15644	7396
679	15664	7371
680	15688	7348
681	15708	7324
682	15727	7299
683	15748	7275
684	15768	7251
685	15788	7226
686	15807	7201
687	15827	7177
688	15847	7153
689	15870	7130
690	15892	7106
691	15917	7084
692	15943	7063
693	15970	7041
694	15996	7020
695	16021	6998
696	16046	6975
697	16069	6952
698	16088	6927
699	16108	6903
700	16127	6878
701	16146	6854
702	16157	6826
703	16177	6801
704	16194	6776
705	16215	6752
706	16235	6728
707	16257	6705
708	16282	6682
709	16306	6660
710	16331	6638
711	16354	6615
712	16381	6593
713	16407	6572
714	16430	6549
715	16452	6525
716	16472	6501
717	16497	6479
718	16521	6456
719	16543	6433
720	16562	6409
721	16582	6384
722	16603	6361
723	16624	6337
724	16641	6312
725	16663	6288
726	16681	6264
727	16702	6240
728	16723	6216
729	16744	6193
730	16765	6169
731	16786	6145
732	16805	6121
733	16823	6096
734	16850	6075
735	16872	6052
736	16897	6029
737	16920	6007
738	16939	5982
739	16960	5958
740	16983	5936
741	17006	5913
742	17026	5889
743	17051	5867
744	17073	5843
745	17094	5820
746	17114	5796
747	17133	5772
748	17152	5748
749	17170	5723
750	17189	5699
751	17211	5676
752	17232	5652
753	17252	5628
754	17268	5603
755	17290	5580
756	17314	5557
757	17341	5536
758	17367	5514
759	17396	5493
760	17419	5470
761	17444	5448
762	17469	5426
763	17496	5404
764	17519	5381
765	17545	5359
766	17568	5336
767	17588	5313
768	17611	5290
769	17630	5266
770	17648	5241
771	17666	5217
772	17686	5193
773	17707	5170
774	17729	5147
775	17750	5123
776	17767	5099
777	17790	5076
778	17816	5054
779	17845	5033
780	17866	5009
781	17891	4987
782	17913	4964
783	17931	4940
784	17951	4916
785	17975	4894
786	17998	4871
787	18020	4848
788	18044	4825
789	18062	4801
790	18081	4777
791	18101	4754
792	18120	4730
793	18142	4707
794	18161	4683
795	18181	4659
796	18200	4635
797	18220	4612
798	18237	4587
799	18258	4564
800	18275	4540
801	18298	4517
802	18324	4495
803	18347	4472
804	18374	4450
805	18395	4427
806	18415	4404
807	18431	4379
808	18453	4356
809	18476	4333
810	18502	4311
811	18523	4288
812	18548	4266
813	18571	4243
814	18590	4219
815	18611	4196
816	18630	4172
817	18652	4149
818	18672	4126
819	18692	4103
820	18710	4079
821	18731	4056
822	18754	4033
823	18778	4011
824	18803	3988
825	18830	3966
826	18852	3943
827	18874	3920
828	18891	3896
829	18914	3874
830	18935	3850
831	18958	3828
832	18980	3805
833	19002	3782
834	19029	3760
835	19049	3736
836	19067	3713
837	19085	3689
838	19106	3666
839	19128	3643
840	19150	3620
841	19167	3596
842	19183	3572
843	19204	3549
844	19228	3527
845	19255	3505
846	19276	3482
847	19306	3460
848	19332	3438
849	19358	3416
850	19379	3393
